score,signals,permit_number,address,zip,description,valuation,sqft,floors,work_class,permit_class,issue_date,contractor_company,contractor_name,contractor_phone,contractor_city,equipment,permit_link
70,"$10M+ value, New",2026-057522 BP,11900 VISTA PARKE DR,78726,New construction of fuel station and exterior canopy structure at existing Grandview Hills Ancillary Buildings.,17510428.0,900.0,1,New,C- 322 Service Station & Repair Garage,2026-05-08,Bartlett Cocke General Contractors (MAIN),Donna Kirkpatrick,(512) 326-4223,Austin,"Excavators, Dozers, Loaders",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13700233
70,"$10M+ value, New",2026-039671 BP,2901 S US 183 HWY NB,78719,BAUS - Airport Project: Install Necessary Fuel Infrastructure and Equipment to Support a Future Concourse hydrant fuel system and receipt of jet fuel,15000000.0,640.0,1,New,C- 328 Commercial Other Nonresident Bldg,2026-04-21,"Burns & McDonnell Engineering Company, Inc",Kyle Smith,(816) 276-1577,KANSAS CITY,Boom Lifts,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13679818
70,"$5M+ value, 10K+ sqft, New",2026-034125 BP,2220 E M FRANKLIN AVE,78723,CONSTRUCT NEW OFFICE BUILDING WITH ACCESORY USES (STORAGE BLOOD DONATION AREAS),7000000.0,16169.0,1,New,"C- 324 Office, Bank & Professional Bldgs",2026-03-24,"Sturzenbecker Construction Co., Inc.",James Sturzenbecker,(843) 626-3500,Myrtle Beach,"Excavators, Dozers, Loaders",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13673532
70,"$1M+ value, 10K+ sqft, 2 floors, New",2025-062684 BP,912 BASTROP HWY SB,78741,Core and shell pre-engineered metal buildings with individual tenant lease spaces.(3 Buildings - Multi-app - Building 2 3 and 4),2091600.0,15680.0,2,New,"C- 324 Office, Bank & Professional Bldgs",2026-04-17,"Engen Contracting, Inc.",Michael Engen,(512) 342-2774,AUSTIN,Cranes,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13521042
70,"$1M+ value, 50K+ sqft, New",2026-040446 BP,7000 METROPOLIS DR UNIT 200,78744,App 1. Provide 2 L3 electric vehicle (EV) charging stations for the currently operational delivery van fleet utilizing the existing primary electrical,1869000.0,80037.0,1,New,C- 329 Com Structures Other Than Bldg,2026-04-14,"Bailey Construction & Consulting, LLC",Bill Springer,(501) 954-9201,Little Rock,"Excavators, Dozers, Loaders",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13680716
70,"$1M+ value, 50K+ sqft, New",2026-040447 BP,7000 METROPOLIS DR UNIT 200,78744,App 2. Provide 265 L2 electric vehicle (EV) charging stations for the currently operational delivery van fleet utilizing the existing primary electric,1869000.0,80037.0,1,New,C- 329 Com Structures Other Than Bldg,2026-04-14,"Bailey Construction & Consulting, LLC",Bill Springer,(501) 954-9201,Little Rock,"Excavators, Dozers, Loaders",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13680717
65,"$5M+ value, New",2026-034126 BP,2220 E M FRANKLIN AVE,78723,CONSTRUCT NEW TRASH ENCLOSURE,7000000.0,312.0,1,New,"C- 324 Office, Bank & Professional Bldgs",2026-03-24,"Sturzenbecker Construction Co., Inc.",James Sturzenbecker,(843) 626-3500,Myrtle Beach,"Excavators, Dozers, Loaders",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13673533
65,"$1M+ value, 10K+ sqft, Addition and Remodel",2026-004811 BP,1610 DUNGAN LN,78754,ePlan: Commercial Expedited Review - Changed of Use from Warehouse to Indoor Sports and Recreation. Scope of Work to Include New Wooden Deck Fence Dra,2200000.0,20960.0,1,Addition and Remodel,"C- 437 Addn, Alter, Convn-NonRes",2026-03-19,"IE2 CONSTRUCTION, INC",Mike Neif,(512) 973-3930,Austin,"Cranes, Material Handling",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13640273
65,"$1M+ value, 2 floors, New",2025-062685 BP,912 BASTROP HWY SB,78741,CORE AND SHELL PRE-ENGINEERED METAL BUILDING WITH INDIVIDUAL TENANT LEASE SPACES.,2091600.0,9683.0,2,New,"C- 324 Office, Bank & Professional Bldgs",2026-04-20,"Engen Contracting, Inc.",Michael Engen,(512) 342-2774,AUSTIN,Cranes,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13521043
65,"$1M+ value, 3 floors, Addition and Remodel",2026-036955 BP,601 RIO GRANDE ST UNIT 300,78701,ePlan: Commercial Expedited Review - Exterior Remodel of an Existing Pool Bar Area and Addition of New Roof Area Over Two Portions of Level 3 (16000 S,1500000.0,7540.0,3,Addition and Remodel,"C- 437 Addn, Alter, Convn-NonRes",2026-04-22,"CTC Contractors, LLC",,(713) 936-1970,Houston,,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13676734
60,"$1M+ value, Addition and Remodel",2025-158291 BP,1010 E CESAR CHAVEZ ST,78702,Interior remodel to existing restaurant with dining room addition.,2300000.0,522.0,1,Addition and Remodel,"C- 437 Addn, Alter, Convn-NonRes",2026-03-30,AR Lucas Construction,Adam Lucas,(512) 801-7221,AUSTIN,Scissor Lifts,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13628457
60,"$1M+ value, New",2026-017477 BP,9801 W PARMER LN BLDG REC,78717,ePlan: Commercial Expedited Review - New Construction of Fitness Amenity Bldg. (3052 SF),1800000.0,3320.0,1,New,C- 328 Commercial Other Nonresident Bldg,2026-05-05,Capitol Painting and Construction,Ilan Katave,(469) 951-7706,Farmers Bran,"Excavators, Dozers, Loaders",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13654749
60,"$1M+ value, Shell",2026-052789 BP,3101 E YAGER LN BLDG 4,78754,New construction of a free standing single story shell building,1600000.0,3419.0,1,Shell,C- 327 Stores & Customer Services,2026-04-29,Flintrock Commercial,Tim Edwards,(512) 813-0700,AUSTIN,"Boom Lifts, Cranes",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13694848
60,"$1M+ value, New",2026-055876 BP,9220 W PARMER LN,78717,New Construction Light auto maintenance repair,1500000.0,3850.0,1,New,C- 322 Service Station & Repair Garage,2026-05-06,1020 Construction,Rachel Chambers,(210) 249-1491,San Antonio,"Excavators, Dozers, Loaders",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13698376
